iter	MultiClass
167	1.894884601
168	1.886359123
169	1.87735336
170	1.870398759
171	1.863104141
172	1.855403974
173	1.848541558
174	1.840932961
175	1.832955983
176	1.826438513
177	1.819063367
178	1.812136104
179	1.804836685
180	1.799474934
181	1.791944908
182	1.784668373
183	1.777023331
184	1.771098702
185	1.763304881
186	1.755572569
187	1.748853928
188	1.741736233
189	1.735012465
190	1.727725098
191	1.720607712
192	1.713668077
193	1.708049551
194	1.705361911
195	1.698521574
196	1.691610152
197	1.684953268
198	1.678182828
199	1.671027479
200	1.666224112
201	1.660725351
202	1.654513488
203	1.648313194
204	1.643131236
205	1.638377011
206	1.631541986
207	1.626381153
208	1.620171947
209	1.614116523
210	1.608296785
211	1.603057721
212	1.598339275
213	1.593824642
214	1.587193052
215	1.581808565
216	1.576321765
217	1.570252788
218	1.564021933
219	1.557664661
220	1.552317392
221	1.546840978
222	1.540708041
223	1.536487916
224	1.531531696
225	1.527109991
226	1.522494979
227	1.519884755
228	1.515163169
229	1.510002394
230	1.503728499
231	1.498005034
232	1.492143438
233	1.487473386
234	1.482305775
235	1.477717436
236	1.473391823
237	1.469987008
238	1.466154152
239	1.460177104
240	1.455505152
241	1.451435301
242	1.446274057
243	1.442992683
244	1.437998894
245	1.435015683
246	1.430137748
247	1.425776732
248	1.421732048
249	1.417603146
250	1.413129494
251	1.408280042
252	1.405474821
253	1.401281406
254	1.396002665
255	1.39029669
256	1.3845059
257	1.380176625
258	1.374931049
259	1.371072181
260	1.365958778
261	1.36334648
262	1.359055189
263	1.355038806
264	1.35040283
265	1.345938209
266	1.342306298
267	1.338296362
268	1.334223524
269	1.331176169
270	1.326439786
271	1.322172547
272	1.318926878
273	1.316788323
274	1.313047362
275	1.309284218
276	1.30535254
277	1.300643978
278	1.297277652
279	1.294002808
280	1.291275353
281	1.287462601
282	1.283032577
283	1.279859277
284	1.276735488
285	1.273993496
286	1.269638469
287	1.266903485
288	1.263968989
289	1.260198795
290	1.256992113
291	1.253489523
292	1.249504022
293	1.246297969
294	1.242617696
295	1.240442158
296	1.237783042
297	1.233475718
298	1.229502021
299	1.226731556
300	1.223519704
301	1.219827372
302	1.216309549
303	1.212743702
304	1.209539633
305	1.206652342
306	1.203697584
307	1.200459561
308	1.196533442
309	1.193889615
310	1.190175495
311	1.187218719
312	1.183061662
313	1.179352935
314	1.175369694
315	1.171900177
316	1.168485189
317	1.165537564
318	1.162655828
319	1.160523691
320	1.157284478
321	1.154657985
322	1.151769961
323	1.148728043
324	1.146000684
325	1.142821723
326	1.139979428
327	1.137959205
328	1.135506478
329	1.132742723
330	1.129683385
331	1.126693171
332	1.123800321
333	1.12071849
334	1.118947413
335	1.116394396
336	1.113934967
337	1.110769563
338	1.108027247
339	1.105204999
340	1.102725235
341	1.100575144
342	1.097121642
343	1.0942105
344	1.091934058
345	1.08891655
346	1.085876765
347	1.083210475
348	1.080598628
349	1.078076682
350	1.074846858
351	1.073285754
352	1.071239905
353	1.06878765
354	1.066483709
355	1.063168327
356	1.060829031
357	1.058051811
358	1.056172096
359	1.053313693
360	1.050865709
361	1.047848576
362	1.044694154
363	1.043017771
364	1.040604476
365	1.037969089
366	1.034917115
367	1.032459658
368	1.02971015
369	1.027102992
370	1.025009088
371	1.022725643
372	1.020813014
373	1.018802528
374	1.01641036
375	1.014161328
376	1.011208933
377	1.009228446
378	1.006755185
379	1.004541742
380	1.002241673
381	1.000303036
382	0.9984044948
383	0.9968024749
384	0.9948927203
385	0.9925796386
386	0.9896750866
387	0.9874833154
388	0.9853527673
389	0.9835190319
390	0.9815098694
391	0.9793246135
392	0.9769592181
393	0.9756913017
394	0.9736966882
395	0.9714937346
396	0.969593589
397	0.9673972504
398	0.9653391193
399	0.9635090474
400	0.9613962869
401	0.9598255207
402	0.9577368321
403	0.955493618
404	0.9533871162
405	0.951249749
406	0.949502857
407	0.9477544288
408	0.945759908
409	0.9433329685
410	0.9411523159
411	0.9390294818
412	0.9367501355
413	0.9352988915
414	0.93377855
415	0.9318074234
416	0.9300770479
417	0.9280979133
418	0.9262752252
419	0.9246961894
420	0.9227374395
421	0.9209324338
422	0.9192574672
423	0.9182264257
424	0.915704201
425	0.9137318188
426	0.9116938241
427	0.9094162768
428	0.9074928497
429	0.9056486512
430	0.9036476432
431	0.90141016
432	0.8991694908
433	0.8969877266
434	0.8955825116
435	0.8936687334
436	0.8915840233
437	0.8901574426
438	0.8886854066
439	0.8861945111
440	0.8850141025
441	0.8833805053
442	0.8817277357
443	0.8803173618
444	0.8784792826
445	0.8766624374
446	0.875469017
447	0.8735025286
448	0.8719170253
449	0.8696848396
450	0.868191923
451	0.8665705731
452	0.8650140261
453	0.8631082905
454	0.8618785675
455	0.8597657612
456	0.8581590298
457	0.8560007231
458	0.8543754406
459	0.8524918908
460	0.850945773
461	0.8487553263
462	0.8471511914
463	0.8459186764
464	0.843701982
465	0.841897047
466	0.8402000595
467	0.8382902565
468	0.8367695862
469	0.8353473074
470	0.8337854873
471	0.8323861637
472	0.8312247756
473	0.8295080491
474	0.8281232511
475	0.8268302923
476	0.8251356813
477	0.8240136803
478	0.8226993431
479	0.8208694874
480	0.8195681793
481	0.8179264465
482	0.8163026863
483	0.8145646169
484	0.8133829914
485	0.8124331543
486	0.8110559443
487	0.8095750999
488	0.8078856081
489	0.8059595416
490	0.8042039771
491	0.8029766839
492	0.8019348376
493	0.8009822005
494	0.7993694301
495	0.7981504558
496	0.7962330125
497	0.7945896497
498	0.7934573155
499	0.7923744079
500	0.7909391235
501	0.7891140527
502	0.7878295763
503	0.7861701998
504	0.7849115043
505	0.7832573739
506	0.7822999294
507	0.7810385124
508	0.7799498322
509	0.7786285463
510	0.7772608036
511	0.7753691496
512	0.774100221
513	0.7723563409
514	0.7708208589
515	0.7695330422
516	0.7683446351
517	0.7671815133
518	0.7659264085
519	0.7641637292
520	0.7626415367
521	0.7611090946
522	0.759878309
523	0.7586002078
524	0.7571751185
525	0.7559228996
526	0.7541836577
527	0.7529764079
528	0.7522297396
529	0.7505543114
530	0.7496046828
531	0.7483501719
532	0.7471817168
533	0.7458181449
534	0.7443566854
535	0.7430288508
536	0.7417893912
537	0.7406598729
538	0.7392586753
539	0.7381332709
540	0.7366227716
541	0.7353688447
542	0.7338691187
543	0.7330455809
544	0.7321657429
545	0.7310220721
546	0.7296853405
547	0.7289679475
548	0.7279183988
549	0.7264251218
550	0.7253386507
551	0.7240662157
552	0.7226921262
553	0.7215001985
554	0.7200956989
555	0.719414606
556	0.7179434508
557	0.7168862519
558	0.7157208783
559	0.7149321476
560	0.7134068933
561	0.7124484734
562	0.7116641398
563	0.7109432525
564	0.7097263119
565	0.7082621702
566	0.7073888218
567	0.705965414
568	0.7049817162
569	0.7037797903
570	0.7023482264
571	0.7006961463
572	0.6998346967
573	0.6991621142
574	0.6978236242
575	0.696799386
576	0.6959115494
577	0.6947304729
578	0.6933307344
579	0.6922939925
580	0.6913426801
581	0.6901355134
582	0.6891985339
583	0.687998716
584	0.6867394998
585	0.6857550596
586	0.6844247454
587	0.6830207342
588	0.6818968396
589	0.6809094533
590	0.679847955
591	0.6789060201
592	0.6778008866
593	0.6768616667
594	0.6760659577
595	0.6748143976
596	0.6736330172
597	0.6723163857
598	0.6715098359
599	0.6704714546
600	0.6693194605
601	0.6682675726
602	0.6673078123
603	0.666147932
604	0.6649509708
605	0.6636365675
606	0.6623935002
607	0.6611194361
608	0.6599736641
609	0.6592050967
610	0.6584426264
611	0.6572916902
612	0.656243402
613	0.654839763
614	0.654150593
615	0.6533803957
616	0.6526119272
617	0.6517327283
618	0.6509322672
619	0.6502892753
620	0.6491258261
621	0.648303344
622	0.6470466913
623	0.6460990384
624	0.6449095108
625	0.6439742811
626	0.6427410492
627	0.6418093366
628	0.6406476515
629	0.6398621821
630	0.6387940462
631	0.6377071224
632	0.6368447277
633	0.6357693745
634	0.634501623
635	0.6335085183
636	0.6327726989
637	0.6318170372
638	0.6310365619
639	0.6298541357
640	0.6288841634
641	0.6280561727
642	0.6272545989
643	0.6259880178
644	0.6249460685
645	0.6241093672
646	0.623612615
647	0.622770438
648	0.6221012885
649	0.6210648468
650	0.6206853775
651	0.6200793503
652	0.6188801913
653	0.6179346179
654	0.6166377163
655	0.6156544924
656	0.6147738493
657	0.6134902147
658	0.6125723616
659	0.6120616585
660	0.6112954531
661	0.610337599
662	0.6090792368
663	0.6083254546
664	0.6074494065
665	0.6064097185
666	0.6057050245
667	0.6047776191
668	0.6041114416
669	0.6031781739
670	0.6022396558
671	0.601400832
672	0.6005436622
673	0.5993902818
674	0.5985626827
675	0.5976055917
676	0.5967629919
677	0.5960448188
678	0.5950213415
679	0.5943012258
680	0.5938133885
681	0.5931586924
682	0.5925169409
683	0.5915111101
684	0.5906366427
685	0.5899952338
686	0.5893020546
687	0.5883054948
688	0.5874922882
689	0.5867410892
690	0.5862622506
691	0.5855263556
692	0.5850703965
693	0.5843624867
694	0.5836507277
695	0.5827721319
696	0.5821026565
697	0.5814588479
698	0.5805854465
699	0.5799942588
700	0.5794667902
701	0.5789016296
702	0.5780928706
703	0.5772134813
704	0.5761857491
705	0.5752891881
706	0.5744546009
707	0.5739171722
708	0.5729948458
709	0.5718646853
710	0.5713183202
711	0.5702895338
712	0.5694794623
713	0.5687839225
714	0.5681838086
715	0.5677392375
716	0.5672477482
717	0.5667647892
718	0.5658814383
719	0.5651048044
720	0.5643038782
721	0.5633866529
722	0.562530847
723	0.5617155216
724	0.5606567542
725	0.5601167321
726	0.5592589213
727	0.558527509
728	0.5576337119
729	0.5568872467
730	0.5562319321
731	0.5554218075
732	0.5548357852
733	0.5543557341
734	0.5538440668
735	0.5533338543
736	0.5526429532
737	0.5518553108
738	0.5508831209
739	0.5499286641
740	0.5489762376
741	0.5483571388
742	0.5478170291
743	0.5472030703
744	0.5466624094
745	0.5460954783
746	0.5451838529
747	0.5442654485
748	0.5435839568
749	0.5430316939
750	0.5425201147
751	0.5419958219
752	0.5412212221
753	0.5407636052
754	0.5398007639
755	0.5389065289
756	0.5381428789
757	0.5376915097
758	0.5369238319
759	0.5358627733
760	0.5351024111
761	0.5341240025
762	0.533579573
763	0.5328795675
764	0.5319548462
765	0.5312410271
766	0.5308304263
767	0.5301555384
