iter	Passed	Remaining
400	28625	42759
401	28687	42674
402	28745	42583
403	28812	42505
404	28880	42430
405	28939	42340
406	29005	42261
407	29063	42170
408	29128	42090
409	29209	42033
410	29271	41948
411	29333	41864
412	29391	41774
413	29456	41694
414	29488	41568
415	29555	41490
416	29628	41423
417	29691	41341
418	29753	41256
419	29817	41176
420	29892	41111
421	29963	41040
422	30030	40963
423	30064	40841
424	30126	40759
425	30193	40683
426	30262	40610
427	30342	40551
428	30429	40501
429	30502	40432
430	30576	40367
431	30658	40309
432	30728	40237
433	30789	40154
434	30853	40073
435	30923	40002
436	30994	39930
437	31064	39858
438	31132	39784
439	31196	39705
440	31238	39596
441	31304	39520
442	31367	39439
443	31437	39367
444	31503	39290
445	31577	39223
446	31646	39150
447	31716	39079
448	31777	38995
449	31846	38923
450	31923	38860
451	31989	38783
452	32055	38706
453	32122	38631
454	32183	38548
455	32248	38472
456	32312	38392
457	32378	38317
458	32459	38258
459	32546	38207
460	32637	38159
461	32705	38085
462	32773	38011
463	32835	37930
464	32900	37852
465	32978	37790
466	33070	37744
467	33144	37676
468	33213	37603
469	33284	37533
470	33360	37468
471	33432	37398
472	33501	37326
473	33581	37265
474	33644	37185
475	33710	37109
476	33779	37037
477	33853	36969
478	33926	36900
479	33994	36827
480	34071	36763
481	34139	36689
482	34214	36623
483	34296	36563
484	34368	36494
485	34438	36422
486	34513	36356
487	34628	36331
488	34705	36267
489	34792	36212
490	34871	36149
491	34938	36074
492	35027	36021
493	35120	35973
494	35211	35922
495	35295	35865
496	35384	35811
497	35465	35750
498	35534	35676
499	35604	35604
500	35661	35518
501	35725	35440
502	35784	35357
503	35868	35299
504	35946	35234
505	36022	35168
506	36104	35107
507	36192	35052
508	36276	34994
509	36369	34943
510	36451	34882
511	36520	34808
512	36602	34747
513	36673	34676
514	36770	34628
515	36873	34587
516	36955	34525
517	37028	34454
518	37103	34387
519	37172	34312
520	37240	34238
521	37305	34160
522	37371	34084
523	37440	34010
524	37502	33930
525	37587	33872
526	37656	33798
527	37722	33721
528	37786	33643
529	37851	33566
530	37915	33488
531	37983	33413
532	38049	33338
533	38114	33261
534	38184	33188
535	38250	33112
536	38329	33047
537	38426	32997
538	38491	32920
539	38569	32855
540	38634	32778
541	38701	32703
542	38765	32626
543	38829	32548
544	38892	32469
545	38959	32395
546	39028	32321
547	39077	32231
548	39174	32181
549	39256	32118
550	39349	32064
551	39436	32006
552	39506	31934
553	39585	31868
554	39655	31795
555	39721	31720
556	39790	31646
557	39853	31568
558	39924	31496
559	39994	31424
560	40069	31355
561	40138	31282
562	40207	31209
563	40273	31133
564	40337	31056
565	40408	30984
566	40468	30904
567	40553	30843
568	40623	30770
569	40687	30694
570	40753	30618
571	40816	30541
572	40884	30467
573	40953	30393
574	41022	30320
575	41084	30243
576	41148	30165
577	41215	30091
578	41288	30021
579	41349	29942
580	41413	29866
581	41485	29795
582	41565	29730
583	41631	29655
584	41694	29578
